key,enValue,enValid,frValue,frValid
appbar.navigation,Navigation,1,La Navigation,0
appbar.more,More,1,Plus,0
navigation.export-v1,Export,1,Exporter,0
navigation.map.export,Export Map,1,Exporter la Carte,0
